fold,cat_mae,hgb_mae,lgb_mae,stack_mae,stack_rmse,stack_r2
1,1.3153164545539744,1.4377814816610353,1.4718875059104934,1.302654991740462,1.6241487430823118,0.04365236760632729
2,1.3519068795796823,1.4227628171781115,1.4179287964921978,1.340691005333512,1.6776462417094924,0.06566120447215595
3,1.2992337535973342,1.2967603667703536,1.3298940956563614,1.266973001116414,1.604336805602408,0.08629052638356538
4,1.2656972482486784,1.3184815253873219,1.3400990577726424,1.2521859380169909,1.5726315041426582,0.06007176588294205
