y_trainval,cat_full_pred_trainval,abs_residual
2.0,2.4818269761483474,0.48182697614834735
1.0,1.239943765121065,0.23994376512106497
5.0,3.9721693336217845,1.0278306663782155
1.0,1.239943765121065,0.23994376512106497
5.0,4.519473926526625,0.48052607347337517
4.0,3.996398896994458,0.003601103005542061
4.0,4.337796837072901,0.33779683707290076
1.0,1.2592539631700261,0.25925396317002614
7.0,6.706416370650296,0.29358362934970383
4.0,3.9755533181361655,0.024446681863834474
3.0,2.729272401723213,0.27072759827678716
5.0,4.7295753034474455,0.2704246965525545
6.0,6.049393952732773,0.04939395273277292
0.0,0.1818841580742423,0.1818841580742423
1.0,1.562251437210322,0.562251437210322
3.0,2.5004243357318097,0.49957566426819033
5.0,4.594988868923052,0.4050111310769484
6.0,5.237141590852067,0.7628584091479329
3.0,2.845639953250558,0.15436004674944215
2.0,2.2412227188585017,0.24122271885850166
0.0,1.5029232959518772,1.5029232959518772
2.0,2.4848977700351145,0.4848977700351145
3.0,2.308761179992123,0.691238820007877
4.0,2.4486958468353732,1.5513041531646268
4.0,3.7561871714163892,0.24381282858361075
2.0,2.418604077766244,0.41860407776624386
3.0,2.404204063869107,0.5957959361308931
3.0,3.695343228957162,0.6953432289571619
3.0,3.124806490462901,0.12480649046290093
1.0,1.063993412144143,0.063993412144143
2.0,2.154931182101384,0.15493118210138412
1.0,1.136887322355341,0.13688732235534107
4.0,3.8292086310365296,0.17079136896347036
1.0,0.8342583619433772,0.1657416380566228
3.0,2.898660722860304,0.10133927713969593
2.0,2.5356407446412788,0.5356407446412788
1.0,1.212597391732559,0.21259739173255898
2.0,1.6696312669358737,0.3303687330641263
1.0,1.066891343484551,0.06689134348455106
3.0,2.8850903576877553,0.11490964231224465
3.0,2.4074957649909363,0.5925042350090637
1.0,1.3417370358135305,0.34173703581353054
3.0,2.274964361816237,0.7250356381837628
1.0,1.3684541603555485,0.36845416035554845
2.0,2.6338691460851167,0.6338691460851167
5.0,4.750857257086466,0.24914274291353422
1.0,1.5894624243689797,0.5894624243689797
3.0,3.293846091147981,0.293846091147981
2.0,1.5307452203635687,0.46925477963643125
1.0,2.0180662789774066,1.0180662789774066
0.0,0.5688777348147172,0.5688777348147172
5.0,2.8541124100691144,2.1458875899308856
1.0,1.771758264550675,0.7717582645506751
4.0,2.858711688663643,1.141288311336357
6.0,5.443562006765718,0.5564379932342822
